Site,Depth,Treatment,Frame_Arrival,Frame_Dur_All,Frame_Enter,Tube_Arrival,Tube_Dur,Tube_Enter,Max_Frame,Max_Tube,Agg_1,Agg_2,Agg_3,Agg_Chase,Agg_All,Notes
1,Exposed,Control,477.108,9.803,,,,,1,0,,,,,,
2,Exposed,Control,,,0,,,,0,0,,,,,,
3,Exposed,Control,,,0,,,,0,0,,,,,,
4,Exposed,Control,544.443,119.529,,773.729,7.242,,1,1,,,,,,
5,Exposed,Control,,,0,,,,0,0,,,,,,
6,Exposed,Control,,,0,,,,0,0,,,,,,
7,Exposed,Control,,21.882,2,,,,1,0,,,,,,
8,Exposed,Control,,,0,,,,0,0,,,,,,
1,Exposed,Squid,32.68,529.768,,94.74,14.682,,4,1,,2,,,,
2,Exposed,Squid,153.054,121.436,19,,,,2,0,,1,,,,
3,Exposed,Squid,255.638,24.078,3,845.309,5.841,3,1,1,,,,,,
4,Exposed,Squid,59.772,75.998,11,271.722,1.503,1,1,1,,,,,,
5,Exposed,Squid,246.647,418.59,51,805.959,1.65,1,4,1,,,,,,
6,Exposed,Squid,287.787,135.484,16,689.657,34.737,3,1,1,,,,,,
7,Exposed,Squid,546.945,23.809,4,NA,NA,NA,1,,,,,,,
8,Exposed,Squid,NA,NA,NA,NA,NA,NA,0,0,,,,,,
1,Exposed,Octopus,185.842,144.574,,242.497,28.775,,3,1,,,,,,Good tube action 
2,Exposed,Octopus,122.055,242.16,28,NA,NA,NA,2,0,3,,,,,
3,Exposed,Octopus,193.152,38.902,10,NA,NA,NA,,,,,,,,
4,Exposed,Octopus,,,,,,,,,,,,,,
5,Exposed,Octopus,170.566,52.056,8,NA,NA,NA,1,0,,,,,,
6,Exposed,Octopus,347.305,209.959,11,710.179,0.58,1,2,1,,,,,,
7,Exposed,Octopus,221.624,32.121,4,NA,NA,NA,1,,,,,,,
8,Exposed,Octopus,NA,NA,NA,NA,NA,NA,,,,,,,,
1,Exposed,Anchovy,74.225,423.41,,203.125,18.427,,3,1,1,1,,,,
2,Exposed,Anchovy,62.969,253.334,34,554.071,80.999,8,3,2,3,,,,,
