Eel,Treatment,Treament_Round,Knotting_Freq,Rotating_Freq,Ramming_Freq,Shaking_Freq
Bill,Open,T1R3,0,0,0,1
Bill,Open,T1R5,0,0,0,4
Bill,Open,T1R2,0,0,0,1
Bill,Open,T1R1,0,0,0,1
Bill,Open,T1R4,0,0,0,0
Bill,10 cm,T2,0,0,3,2
Bill,10 cm,T2R3,3,10,0,1
Bill,10 cm,T2R4,0,0,0,4
Bill,10 cm,T2R5,0,0,0,3
Bill,10 cm,T2R2,0,0,0,1
Bill,5 cm,T3,0,0,9,2
Bill,5 cm,T3R2,0,0,0,0
Bill,5 cm,T3R3,0,0,0,1
Bill,5 cm,T3R4,0,10,0,3
Bill,5 cm,T3R5,0,12,0,2
Hamlet,Open,R3T3,0,3,0,0
Hamlet,Open,R4T3,0,1,0,2
Hamlet,Open,R5T3,1,3,1,1
Hamlet,Open,R2T3,0,1,0,0
Hamlet,Open,T3,5,1,6,0
Hamlet,10 cm,T2,3,0,0,0
Hamlet,10 cm,R3T2,1,7,0,5
Hamlet,10 cm,R4T2,0,0,0,1
Hamlet,10 cm,R5T2,0,3,0,2
Hamlet,10 cm,R2T2,1,0,0,0
Hamlet,5 cm,T4,2,2,0,3
Hamlet,5 cm,R3T1,0,5,0,2
Hamlet,5 cm,R4T1,0,1,0,2
Hamlet,5 cm,R5T1,2,7,0,1
Hamlet,5 cm,T1,4,6,0,2
Horatio,Open,R4T2,0,0,0,0
Horatio,Open,R5T2,0,0,0,0
Horatio,Open,R3T2,0,1,0,0
Horatio,Open,R2T2,0,0,0,0
Horatio,Open,R1T2,0,0,0,1
Horatio,10 cm,R3T3,0,0,0,2
Horatio,10 cm,R4T3,0,0,0,3
Horatio,10 cm,R5T3,0,0,0,1
Horatio,10 cm,T3,0,0,0,0
Horatio,10 cm,R2T3,0,0,0,0
Horatio,5 cm,R3T1,0,0,0,0
Horatio,5 cm,R4T1,0,0,0,0
Horatio,5 cm,R5T1,0,0,0,1
Horatio,5 cm,T1,0,0,0,0
Horatio,5 cm,T4,0,0,0,3
Eelvis,Open,R4T2,8,1,8,0
Eelvis,Open,R5T2,2,2,0,1
Eelvis,Open,R3T2,2,0,0,1
Eelvis,Open,R2T2,0,2,3,2
Eelvis,Open,T2,0,2,0,0
Eelvis,10 cm,R2T1,0,0,0,0
Eelvis,10 cm,R3T1,3,1,0,0
Eelvis,10 cm,T1,1,4,1,4
Eelvis,5 cm,R5T3,1,3,0,2
Eelvis,5 cm,T3,1,4,1,2
Snickers,Open,R5T1,1,4,0,2
Snickers,Open,T1,1,4,3,2
Snickers,Open,R3T1,2,1,0,5
Snickers,Open,R2T1,0,0,0,3
Snickers,10 cm,R5T3,1,2,0,3
Snickers,10 cm,R2T3,2,6,0,2
Snickers,5 cm,R2T2,0,6,0,4
Snickers,5 cm,T2,0,1,0,4
Johnny,Open,R4T1,0,2,0,0
Johnny,Open,R5T1,0,0,0,0
Johnny,Open,R2T1,0,0,0,4
Johnny,Open,T1,0,2,0,0
Johnny,Open,R3T1,0,0,0,0
Johnny,10 cm,R3T2,0,0,0,0
Johnny,10 cm,R4T2,0,0,0,0
Johnny,10 cm,R5T2,0,5,0,0
Johnny,10 cm,R2T2,0,0,0,1
Johnny,5 cm,R3T3,0,0,0,0
Johnny,5 cm,R4T3,0,0,0,0
Johnny,5 cm,R5T3,0,0,0,0
Johnny,5 cm,T3,0,2,0,1
Johnny,5 cm,R2T3,0,1,0,0
Spaghettio,Open,R3T2,0,2,0,0
Spaghettio,Open,R4T2,0,2,0,0
Spaghettio,Open,R5T2,0,3,0,0
Spaghettio,Open,R2T2,1,1,0,0
Spaghettio,Open,T2,1,2,0,0
Spaghettio,10 cm,R3T3,0,0,0,0
Spaghettio,10 cm,R4T3,2,1,0,0
Spaghettio,10 cm,R5T3,1,1,0,0
Spaghettio,10 cm,R32T3,1,0,1,0
Spaghettio,5 cm,R3T1,0,3,0,0
Spaghettio,5 cm,R4T1,0,0,0,0
Spaghettio,5 cm,R5T1,0,0,0,0
Spaghettio,5 cm,R2T1,3,1,0,0
Spaghettio,5 cm,R1T1,0,3,0,0
Willie,Open,R3T3,0,0,0,0
Willie,Open,R2T3,1,1,0,0
Willie,10 cm,R3T1,0,0,0,1
Willie,10 cm,R5T1,0,3,0,1
Willie,10 cm,T1,0,0,0,1
Willie,10 cm,R2T1,1,5,0,0
Willie,5 cm,R3T2,0,2,0,0
Willie,5 cm,R4T2,0,0,0,0
Willie,5 cm,R5T2,0,3,0,0
Willie,5 cm,R2T2,0,2,0,1
Yorick,Open,R4T3,0,0,0,0
Yorick,Open,R5T3,0,2,0,2
Yorick,Open,R3T3,1,0,0,1
Yorick,Open,R2T3,0,0,0,2
Yorick,10 cm,R3T1,0,0,0,4
Yorick,10 cm,R4T1,1,2,0,3
Yorick,10 cm,R5T1,0,1,0,3
Yorick,10 cm,R2T1,0,0,0,0
Yorick,5 cm,R3T2,0,3,0,2
Yorick,5 cm,R4T2,1,6,1,2
Yorick,5 cm,R5T2,1,8,0,3
Yorick,5 cm,T2R2,0,0,0,8
