Trial info,Treatment,Eel,Trial_Duration,Handling_Dur,Bites,Ptransport_Dur,Ptransport_Prop,Shaking_Dur,Shaking_Prop,Shaking_Prop_Handling,Knotting_Dur,Knotting_Prop,Knotting_Prop_Handling,Knotting_Binomial,Rotating_Dur,Rotating_Prop,Rotating_Prop_Handling,Ramming_Dur,Ramming_Prop,Ramming_Prop_Handling
R1 - T1,Open,Bill,19.8,0.855,8,8.84,0.446464646,0.855,0.043181818,1,0,0,0,no,0,0,0,0,0,0
R1 - T1,Open,Johnny,27.07,3.01,12,18.5,0.683413373,0,0,0,0,0,0,no,3.01,0.111193203,1,0,0,0
R1 - T1,Open,Snickers,77.7,12.28,36,60.6,0.77992278,0.97,0.012483912,0.078990228,6.5,0.083655084,0.529315961,yes,3.06,0.039382239,0.249185668,1.75,0.022522523,0.142508143
R1 - T2,Open,Horatio,10.55,0.685,5,5.08,0.481516588,0.685,0.06492891,1,0,0,0,no,0,0,0,0,0,0
R1 - T2,Open,Spaghettio,83.2,5.76,24,39,0.46875,0,0,0,4.46,0.053605769,0.774305556,yes,1.3,0.015625,0.225694444,0,0,0
R1 - T2,Open,Eelvis,88,44.518,13,2.8,0.031818182,0,0,0,36.3,0.4125,0.815400512,yes,0.518,0.005886364,0.011635743,7.7,0.0875,0.172963745
R1 - T3,Open,Hamlet,94.8,39.1,37,31.8,0.335443038,0,0,0,32.4,0.341772152,0.828644501,yes,0.4,0.004219409,0.010230179,6.3,0.066455696,0.16112532
R2 - T1,Open,Bill,22,0.152,11,13.06,0.593636364,0.152,0.006909091,1,0,0,0,no,0,0,0,0,0,0
R2 - T1,Open,Johnny,30.1,1.55,9,15.85,0.526578073,1.55,0.051495017,1,0,0,0,no,0,0,0,0,0,0
R2 - T1,Open,Snickers,59.3,0.87,19,29.7,0.50084317,0.87,0.014671164,1,0,0,0,no,0,0,0,0,0,0
R2 - T2,Open,Eelvis,43.9,5.82,16,14.3,0.325740319,0.8,0.018223235,0.137457045,0,0,0,no,1.25,0.028473804,0.214776632,3.77,0.085876993,0.647766323
R2 - T2,Open,Horatio,16.2,0,2,7.28,0.449382716,0,0,0,0,0,0,no,0,0,0,0,0,0
R2 - T2,Open,Spaghettio,35.7,3.76,15,15.25,0.427170868,0,0,0,3.39,0.094957983,0.901595745,yes,0.37,0.010364146,0.098404255,0,0,0
R2 - T3,Open,Hamlet,18.84,0.42,14,9.4,0.498938429,0,0,0,0,0,0,no,0.42,0.022292994,1,0,0,0
R2 - T3,Open,Willie,35.9,3.15,17,17.1,0.47632312,0,0,0,2.68,0.074651811,0.850793651,yes,0.47,0.013091922,0.149206349,0,0,0
R2 - T3,Open,Yorick,19.81,0.88,8,8.4,0.424028269,0.88,0.044422009,1,0,0,0,no,0,0,0,0,0,0
R3 - T1,Open,Bill,14,0.4,8,4.3,0.307142857,0.4,0.028571429,1,0,0,0,no,0,0,0,0,0,0
R3 - T1,Open,Johnny,14.6,0,7,2.6,0.178082192,0,0,0,0,0,0,no,0,0,0,0,0,0
R3 - T1,Open,Snickers,80.7,8.69,24,31.1,0.385377943,2.26,0.028004957,0.260069045,5.7,0.07063197,0.655926352,yes,0.73,0.009045849,0.084004603,0,0,0
R3 - T2,Open,Eelvis,28.1,8.2,7,4.5,0.160142349,0.6,0.021352313,0.073170732,7.6,0.270462633,0.926829268,yes,0,0,0,0,0,0
R3 - T2,Open,Horatio,15.71,0.5,8,6.77,0.43093571,0,0,0,0,0,0,no,0.5,0.031826862,1,0,0,0
R3 - T2,Open,Spaghettio,49.6,1.65,16,30.3,0.610887097,0,0,0,0,0,0,no,1.65,0.033266129,1,0,0,0
R3 - T3,Open,Hamlet,22.3,1.97,15,13.2,0.591928251,0,0,0,0,0,0,no,1.97,0.088340807,1,0,0,0
R3 - T3,Open,Willie,22.7,0,11,10.2,0.449339207,0,0,0,0,0,0,no,0,0,0,0,0,0
R3 - T3,Open,Yorick,49.5,4.15,13,14.6,0.294949495,0.37,0.007474747,0.089156627,3.78,0.076363636,0.910843373,yes,0,0,0,0,0,0
R4 - T1,Open,Bill,17.4,0,8,6.2,0.356321839,0,0,0,0,0,0,no,0,0,0,0,0,0
R4 - T1,Open,Johnny,19.1,0.82,12,5.2,0.272251309,0,0,0,0,0,0,no,0.82,0.042931937,1,0,0,0
R4 - T2,Open,Eelvis,138.78,77.8,16,8.9,0.064130278,0,0,0,62.8,0.452514772,0.807197943,yes,0.4,0.00288226,0.005141388,14.6,0.105202479,0.187660668
R4 - T2,Open,Horatio,18.75,0,7,10.49,0.559466667,0,0,0,0,0,0,no,0,0,0,0,0,0
R4 - T2,Open,Spaghettio,14.3,0.88,8,6.4,0.447552448,0,0,0,0,0,0,no,0.88,0.061538462,1,0,0,0
R4 - T3,Open,Hamlet,15.81,1.14,12,5.37,0.339658444,0.77,0.048703352,0.675438596,0,0,0,no,0.37,0.02340291,0.324561404,0,0,0
R4 - T3,Open,Yorick,41.61,0,11,20.6,0.4950733,0,0,0,0,0,0,no,0,0,0,0,0,0
R5 - T1,Open,Bill,13.3,1.8,7,5.1,0.383458647,1.8,0.135338346,1,0,0,0,no,0,0,0,0,0,0
R5 - T1,Open,Johnny,9.34,0,9,4.1,0.438972163,0,0,0,0,0,0,no,0,0,0,0,0,0
R5 - T1,Open,Snickers,98.2,8.35,22,26.4,0.268839104,1.45,0.014765784,0.173652695,3.4,0.034623218,0.407185629,yes,3.5,0.035641548,0.419161677,0,0,0
R5 - T2,Open,Eelvis,67,8.98,18,3.25,0.048507463,0.48,0.007164179,0.053452116,6.6,0.098507463,0.734966592,yes,1.9,0.028358209,0.211581292,0,0,0
R5 - T2,Open,Horatio,31.2,0,12,9.15,0.293269231,0,0,0,0,0,0,no,0,0,0,0,0,0
R5 - T2,Open,Spaghettio,15.8,1.7,6,3.9,0.246835443,0,0,0,0,0,0,no,1.7,0.107594937,1,0,0,0
R5 - T3,Open,Hamlet,31.1,11.975,12,15.7,0.504823151,0.335,0.010771704,0.027974948,9.3,0.29903537,0.776617954,yes,1.37,0.044051447,0.11440501,0.97,0.031189711,0.081002088
R5 - T3,Open,Yorick,17,2,9,4.9,0.288235294,0.9,0.052941176,0.45,0,0,0,no,1.1,0.064705882,0.55,0,0,0
R1 - T1,10cm,Willie,62,0.25,20,33.7,0.543548387,0.25,0.004032258,1,0,0,0,no,0,0,0,0,0,0
R1 - T1,10cm,Eelvis,46.4,13.46,13,35.08,0.756034483,1.97,0.042456897,0.146359584,7.39,0.159267241,0.549034175,yes,3.9,0.084051724,0.2897474,0.2,0.004310345,0.014858841
R1 - T2,10cm,Bill,44.36,2.81,18,13.76,0.31018936,0.8,0.018034265,0.284697509,0,0,0,no,0,0,0,2.01,0.045311091,0.715302491
R1 - T2,10cm,Hamlet,34.75,10.25,16,14.8,0.425899281,0,0,0,10.25,0.294964029,1,yes,0,0,0,0,0,0
R1 - T3,10cm,Horatio,17.8,0,9,13.1,0.735955056,0,0,0,0,0,0,no,0,0,0,0,0,0
R1 - T3,10cm,Spaghettio,23.5,7.05,8,0,0,0,0,0,6.13,0.260851064,0.869503546,yes,0.92,0.039148936,0.130496454,0,0,0
R2 - T1,10cm,Eelvis,21.58,0,5,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0
R2 - T1,10cm,Willie,37.8,6.85,12,1.39,0.036772487,0,0,0,2.37,0.062698413,0.345985401,yes,4.48,0.118518519,0.654014599,0,0,0
R2 - T1,10cm,Yorick,48.7,0,13,36.28,0.744969199,0,0,0,0,0,0,no,0,0,0,0,0,0
R2 - T2,10cm,Bill,24.63,0.45,9,7.18,0.291514413,0.45,0.018270402,1,0,0,0,no,0,0,0,0,0,0
R2 - T2,10cm,Hamlet,21.7,2.6,18,3.74,0.17235023,0,0,0,2.6,0.119815668,1,yes,0,0,0,0,0,0
R2 - T2,10cm,Johnny,14.85,0.285,7,10.3,0.693602694,0.285,0.019191919,1,0,0,0,no,0,0,0,0,0,0
R2 - T3,10cm,Horatio,11.35,0,7,6.307,0.555682819,0,0,0,0,0,0,no,0,0,0,0,0,0
R2 - T3,10cm,Snickers,49.3,10.26,25,7.05,0.143002028,1.56,0.031643002,0.152046784,4.4,0.089249493,0.428849903,yes,4.3,0.087221095,0.419103314,0,0,0
R2 - T3,10cm,Spaghettio,23.74,2.7,11,14.04,0.591406908,0,0,0,1.38,0.058129739,0.511111111,yes,0,0,0,1.32,0.055602359,0.488888889
R3 - T1,10cm,Eelvis,27.8,8.945,9,0,0,0,0,0,8.56,0.307913669,0.956959195,yes,0.385,0.013848921,0.043040805,0,0,0
R3 - T1,10cm,Willie,16.22,0.385,10,7.69,0.474106042,0.385,0.023736128,1,0,0,0,no,0,0,0,0,0,0
R3 - T1,10cm,Yorick,61,2.14,19,29.4,0.481967213,2.14,0.035081967,1,0,0,0,no,0,0,0,0,0,0
R3 - T2,10cm,Bill,102.1,28.885,22,49.5,0.484818805,0.435,0.004260529,0.01505972,8.05,0.07884427,0.278691362,yes,20.4,0.199804114,0.706248918,0,0,0
R3 - T2,10cm,Hamlet,55.71,24.35,25,13.38,0.240172321,2.6,0.046670257,0.106776181,4.9,0.087955484,0.201232033,yes,16.85,0.302459164,0.691991786,0,0,0
R3 - T2,10cm,Johnny,13.4,0,13,5.36,0.4,0,0,0,0,0,0,no,0,0,0,0,0,0
R3 - T3,10cm,Horatio,15.92,0.79,9,6.7,0.420854271,0.79,0.049623116,1,0,0,0,no,0,0,0,0,0,0
R3 - T3,10cm,Spaghettio,23.41,0,13,13.47,0.57539513,0,0,0,0,0,0,no,0,0,0,0,0,0
R4 - T1,10cm,Yorick,23.129,5.91,9,0,0,1.58,0.068312508,0.267343486,2.28,0.098577543,0.385786802,yes,2.05,0.088633317,0.346869712,0,0,0
R4 - T2,10cm,Bill,14.064,1.5,7,4,0.284414107,1.5,0.10665529,1,0,0,0,no,0,0,0,0,0,0
R4 - T2,10cm,Hamlet,19,0.35,12,5.8,0.305263158,0.35,0.018421053,1,0,0,0,no,0,0,0,0,0,0
R4 - T2,10cm,Johnny,11.62,0,11,4.67,0.401893287,0,0,0,0,0,0,no,0,0,0,0,0,0
R4 - T3,10cm,Horatio,12.72,1.1,6,1.8,0.141509434,1.1,0.086477987,1,0,0,0,no,0,0,0,0,0,0
R4 - T3,10cm,Spaghettio,21.7,4.85,12,6.27,0.288940092,0,0,0,4.37,0.201382488,0.901030928,yes,0.48,0.022119816,0.098969072,0,0,0
R5 - T1,10cm,Yorick,26.3,2.71,10,6.64,0.252471483,1.7,0.064638783,0.627306273,0,0,0,no,1.01,0.038403042,0.372693727,0,0,0
