Eel,Treatment,Treatment_Round,Trial_Duration,Handling_Dur,Handling-PT,PT_Duration,PT_Prop,Knotting_Duration,Knotting_Prop,Knotting_Prop_Handling,Knotting_Binomial,Rotating_Duration,Rotating_Prop,Rotating_Prop_Handling,Ramming_Duration,Ramming_Prop,Ramming_Prop_Handling,Shaking_Duration,Shaking_Prop,Shaking_Prop_Handling,Crinkle_Duration,Crinkle_Prop,Crinkle_Prop_Handling,Tug_Duration,Tug_Prop,Tug_Prop_Handling,Anchor_Duration,Anchor_Prop,Anchor_Prop_Handling,Bite,Knotting_Freq,Rotating_Freq,Ramming_Freq,Shaking_Freq,BodyAnchor_Freq,TailAnchor_Freq
Eelvis ,Small,1,50.442,16.112,49.274,1.168,0.072492552,0,0,0,No,14.094,0.279410015,0.874751738,0,0,0,0,0,0,2.018,0.040006344,0.125248262,4.952,0.098172158,0.30734856,0,0,0,24,0,15,0,0,3,0
Snickers,Small,1,32.238,8.053,29.621,2.617,0.32497206,0,0,0,No,0,0,0,0,0,0,1.134,0.035175879,0.140817087,3.534,0.109622185,0.438842667,2.534,0.078602891,0.314665342,3.385,0.10500031,0.420340246,26,0,0,0,3,2,6
Bill,Small,1,27.379,10.337,19.389,7.99,0.772951533,0,0,0,No,0.973,0.035538186,0.09412789,0,0,0,0.504,0.018408269,0.048756893,8.86,0.323605683,0.857115217,1.51,0.055151759,0.146077198,0,0,0,16,0,1,0,1,2,0
Hamlet,Small,1,38.152,15.044,24.837,13.315,0.88507046,0,0,0,No,6.138,0.160882785,0.408003191,0,0,0,0.403,0.010563011,0.026788088,8.503,0.222871671,0.565208721,0.436,0.011427972,0.028981654,0,0,0,26,0,5,0,1,5,0
Horatio,Small,1,30.359,40.66,17.903,12.456,0.306345303,0,0,0,No,0,0,0,0,0,0,0,0,0,24.441,0.805066043,0.601106739,0.891,0.029348793,0.021913428,16.219,0.534240258,0.398893261,19,0,0,0,0,3,4
Spaghettio,Small,1,45.869,51.688,42.858,3.011,0.058253366,0,0,0,No,13.499,0.294294622,0.261163133,0,0,0,0,0,0,26.079,0.568553925,0.50454651,0,0,0,12.11,0.264012732,0.234290358,22,0,7,0,0,3,3
Jhonny ,Small,1,31.214,42.942,26.8,4.414,0.10278981,0,0,0,No,6.846,0.219324662,0.15942434,0,0,0,0,0,0,15.858,0.508041264,0.369288808,1.745,0.055904402,0.040636207,20.238,0.648362914,0.471286852,16,0,7,0,0,1,1
Bill,Small,2,77.577,32.864,46.452,31.125,0.947084956,0,0,0,No,26.991,0.347925287,0.821293817,0,0,0,0.719,0.009268211,0.021878043,5.154,0.066437217,0.15682814,1.455,0.018755559,0.044273369,0,0,0,33,0,15,0,1,3,0
Hamlet,Small,2,60.278,39.436,53.95,6.328,0.160462522,0,0,0,No,23.3,0.386542354,0.590830713,0,0,0,2.211,0.036680049,0.056065524,6.36,0.105511132,0.161273963,2.445,0.040562062,0.061999189,7.565,0.125501841,0.1918298,27,0,13,0,3,5,4
Horatio,Small,2,65.394,40.585,51.508,13.886,0.342146113,0,0,0,No,2.984,0.045631098,0.073524701,0,0,0,2.035,0.031119063,0.050141678,25.386,0.388200752,0.625502033,0.95,0.014527327,0.023407663,10.18,0.155671774,0.250831588,39,0,3,0,4,9,6
