Treatment,Treatment_Exposure,Eel,Rotation_Bout,Rotation_Duration,Opercular_Passes,Opercular_Passes/2,Rotation_Second,Notes
Small,1,Hamlet,1,3.25,2,1,0.307692308,
Small,1,Hamlet,2,1.739,3,1.5,0.862564692,
Small,1,Hamlet,3,2.239,3,1.5,0.669941938,
Small,2,Hamlet,1,1.688,2,1,0.592417062,
Small,2,Hamlet,2,1.003,2,1,0.997008973,
Small,2,Hamlet,3,1.502,3,1.5,0.998668442,
Small,2,Hamlet,4,3.509,5,2.5,0.712453691,
Small,2,Hamlet,5,2.009,2,1,0.49776008,
Small,2,Hamlet,6,4.781,9,4.5,0.941225685,
Small,2,Hamlet,7,4.028,5,2.5,0.620655412,
Small,3,Hamlet,1,1.139,5,2.5,2.194907814,
Small,3,Hamlet,2,2.75,4,2,0.727272727,
Small,3,Hamlet,3,2.759,8,4,1.449800652,
Small,3,Hamlet,4,0.997,2,1,1.003009027,
Medium,1,Hamlet,1,1.819,2,1,0.549752611,
Medium,2,Hamlet,1,1.001,2,1,0.999000999,
Medium,3,Hamlet,1,1.502,2,1,0.665778961,
Medium,3,Hamlet,2,1.753,2,1,0.570450656,
Medium,3,Hamlet,3,0.75,2,1,1.333333333,
Large,1,Hamlet,NA,NA,NA,NA,NA,
Large,2,Hamlet,1,1,2,1,1,
Large,2,Hamlet,2,1.998,2,1,0.500500501,
Large,2,Hamlet,3,2.254,2,1,0.443655723,
Large,3,Hamlet,1,2.996,2,1,0.333778371,
Large,3,Hamlet,2,6.005,5,2.5,0.416319734,
Large,3,Hamlet,3,3.251,3,1.5,0.461396493,
Small,1,Spaghettio,1,2.244,3,1.5,0.668449198,
Small,1,Spaghettio,2,2.504,4,2,0.798722045,
Small,1,Spaghettio,3,5.748,7,3.5,0.608907446,
Small,1,Spaghettio,4,1.755,2,1,0.56980057,
Small,2,Spaghettio,1,5.184,8,4,0.771604938,
Small,2,Spaghettio,2,1.252,3,1.5,1.198083067,
Small,3,Spaghettio,NA,NA,NA,NA,NA,
Medium,1,Spaghettio,1,1.592,4,2,1.256281407,
Medium,1,Spaghettio,2,3,6,3,1,
Medium,1,Spaghettio,3,1.25,2,1,0.8,
Medium,2,Spaghettio,1,2.325,3,1.5,0.64516129,
Medium,2,Spaghettio,2,0.984,2,1,1.016260163,
Medium,2,Spahgettio,3,0.994,2,1,1.006036217,
Medium,3,Spaghettio,1,2.508,2,1,0.398724083,
Large,1,Spaghettio,1,5.901,4,2,0.338925606,
Large,2,Spaghettio,1,1.998,3,1.5,0.750750751,
Large,2,Spaghettio,2,5.254,4,2,0.380662352,
Large,3,Spaghettio,1,8.247,2,1,0.121256214,
Large,3,Spaghettio,2,9.001,4,2,0.222197534,
Large,3,Spaghettio,3,28.5,25,12.5,0.438596491,
Medium,1,Johnny,NA,NA,NA,NA,NA,
Medium,2,Johnny,1,2.25,3,1.5,0.666666667,
Medium,2,Johnny,2,1.999,3,1.5,0.750375188,
Medium,3,Johnny,1,3.225,2,1,0.310077519,
Small,1,Snickers,NA,NA,NA,NA,NA,
Medium,1,Snickers,1,8.262,5,2.5,0.302590172,
Medium,1,Snickers,2,4.011,2,1,0.249314385,
Medium,1,Snickers,3,13.99,6,3,0.214438885,
Medium,1,Snickers,4,4.55,2,1,0.21978022,
Medium,1,Snickers,5,8.763,3,1.5,0.171174255,
Medium,1,Snickers,6,2.508,1,0.5,0.199362041,
Medium,1,Snickers,7,17.267,10,5,0.289569699,
Medium,2,Snickers,1,4.252,4,2,0.470366886,
Medium,2,Snickers,2,5.993,10,5,0.834306691,
Large,1,Snickers,1,2.75,4,2,0.727272727,
Large,1,Snickers,2,8.76,16,8,0.913242009,
Large,2,Snickers,1,1.751,6,3,1.713306682,
Large,2,Snickers,2,1.001,3,1.5,1.498501499,
Large,2,Snickers,3,0.752,3,1.5,1.994680851,
Large,2,Snickers,4,7.513,39,19.5,2.595501131,
Small,1,Horatio,NA,NA,NA,NA,NA,
Small,2,Horatio,1,1,2,1,1,
Small,2,Horatio,2,1.498,2,1,0.667556742,
Small,3,Horatio,1,2,1,0.5,0.25,
Medium,1,Horatio,1,0.751,1,0.5,0.665778961,
Medium,1,Horatio,2,1.75,1,0.5,0.285714286,
